Symbol,Name,Industry,Free Float Equity Shares
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,99709703.0
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,927847272.0
AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,859799807.0
ASIANPAINT,Asian Paints Ltd.,PAINTS,491121486.0
AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,274205290.0
AXISBANK,Axis Bank Ltd.,BANKS,1758040005.0
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,146400844.0
BANKBARODA,Bank of Baroda,BANKS,1017067145.0
BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,1502781941.0
BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,1024043730.0
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,9573206.0
BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,558428167.0
CIPLA,Cipla Ltd.,PHARMACEUTICALS,512490331.0
COALINDIA,Coal India Ltd.,MINING,1302013334.0
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,122980755.0
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,14078930.0
GAIL,GAIL (India) Ltd.,GAS,500272997.0
GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,339925703.0
HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,552996196.0
HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,1714119516.0
HDFCBANK,HDFC Bank Ltd.,BANKS,2148246311.0
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,133206644.0
HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1569238311.0
HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,739318449.0
ICICIBANK,ICICI Bank Ltd.,BANKS,6130798277.0
IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,1871471342.0
INDUSINDBK,IndusInd Bank Ltd.,BANKS,566806210.0
INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,454294366.0
INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,1836196517.0
ITC,I T C Ltd.,CIGARETTES,9057839024.0
KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,1285038906.0
LT,Larsen & Toubro Ltd.,ENGINEERING,879365281.0
LUPIN,Lupin Ltd.,PHARMACEUTICALS,236545143.0
M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,487602347.0
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,147274789.0
NTPC,NTPC Ltd.,POWER,2587749318.0
ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,2852720669.0
POWERGRID,Power Grid Corporation of India Ltd.,POWER,2481056676.0
RELIANCE,Reliance Industries Ltd.,REFINERIES,1597272358.0
SBIN,State Bank of India,BANKS,3231077538.0
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1085617937.0
TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,2145696823.0
TATAMTRDVR,Tata Motors Ltd DVR,AUTOMOBILES - 4 WHEELERS,566022401.0
TATAPOWER,Tata Power Co. Ltd.,POWER,1905213439.0
TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,793118723.0
TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,501485194.0
TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,575627123.0
ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,118547382.0
WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,620148383.0
YESBANK,Yes Bank Ltd.,BANKS,397877557.0
ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,591078248.0
